hex_string,utf8_string,emoji_desc
1F5E8,\u00f0\u009f\u0097\u00a8,left speech bubble
1F5EF FE0F,\u00f0\u009f\u0097\u00af\u00ef\u00b8\u008f,right anger bubble
1F5EF,\u00f0\u009f\u0097\u00af,right anger bubble
1F4AD,\u00f0\u009f\u0092\u00ad,thought balloon
1F4A4,\u00f0\u009f\u0092\u00a4,zzz
1F44B,\u00f0\u009f\u0091\u008b,waving hand
1F44B 1F3FB,\u00f0\u009f\u0091\u008b\u00f0\u009f\u008f\u00bb,waving hand: light skin tone
1F44B 1F3FC,\u00f0\u009f\u0091\u008b\u00f0\u009f\u008f\u00bc,waving hand: medium-light skin tone
1F44B 1F3FD,\u00f0\u009f\u0091\u008b\u00f0\u009f\u008f\u00bd,waving hand: medium skin tone
1F44B 1F3FE,\u00f0\u009f\u0091\u008b\u00f0\u009f\u008f\u00be,waving hand: medium-dark skin tone
1F44B 1F3FF,\u00f0\u009f\u0091\u008b\u00f0\u009f\u008f\u00bf,waving hand: dark skin tone
1F91A,\u00f0\u009f\u00a4\u009a,raised back of hand
1F91A 1F3FB,\u00f0\u009f\u00a4\u009a\u00f0\u009f\u008f\u00bb,raised back of hand: light skin tone
1F91A 1F3FC,\u00f0\u009f\u00a4\u009a\u00f0\u009f\u008f\u00bc,raised back of hand: medium-light skin tone
1F91A 1F3FD,\u00f0\u009f\u00a4\u009a\u00f0\u009f\u008f\u00bd,raised back of hand: medium skin tone
1F91A 1F3FE,\u00f0\u009f\u00a4\u009a\u00f0\u009f\u008f\u00be,raised back of hand: medium-dark skin tone
1F91A 1F3FF,\u00f0\u009f\u00a4\u009a\u00f0\u009f\u008f\u00bf,raised back of hand: dark skin tone
1F590 FE0F,\u00f0\u009f\u0096\u0090\u00ef\u00b8\u008f,hand with fingers splayed
1F590,\u00f0\u009f\u0096\u0090,hand with fingers splayed
1F590 1F3FB,\u00f0\u009f\u0096\u0090\u00f0\u009f\u008f\u00bb,hand with fingers splayed: light skin tone
1F590 1F3FC,\u00f0\u009f\u0096\u0090\u00f0\u009f\u008f\u00bc,hand with fingers splayed: medium-light skin tone
1F590 1F3FD,\u00f0\u009f\u0096\u0090\u00f0\u009f\u008f\u00bd,hand with fingers splayed: medium skin tone
1F590 1F3FE,\u00f0\u009f\u0096\u0090\u00f0\u009f\u008f\u00be,hand with fingers splayed: medium-dark skin tone
1F590 1F3FF,\u00f0\u009f\u0096\u0090\u00f0\u009f\u008f\u00bf,hand with fingers splayed: dark skin tone
270B,\u00e2\u009c\u008b,raised hand
270B 1F3FB,\u00e2\u009c\u008b\u00f0\u009f\u008f\u00bb,raised hand: light skin tone
270B 1F3FC,\u00e2\u009c\u008b\u00f0\u009f\u008f\u00bc,raised hand: medium-light skin tone
270B 1F3FD,\u00e2\u009c\u008b\u00f0\u009f\u008f\u00bd,raised hand: medium skin tone
270B 1F3FE,\u00e2\u009c\u008b\u00f0\u009f\u008f\u00be,raised hand: medium-dark skin tone
270B 1F3FF,\u00e2\u009c\u008b\u00f0\u009f\u008f\u00bf,raised hand: dark skin tone
1F596,\u00f0\u009f\u0096\u0096,vulcan salute
1F596 1F3FB,\u00f0\u009f\u0096\u0096\u00f0\u009f\u008f\u00bb,vulcan salute: light skin tone
1F596 1F3FC,\u00f0\u009f\u0096\u0096\u00f0\u009f\u008f\u00bc,vulcan salute: medium-light skin tone
1F596 1F3FD,\u00f0\u009f\u0096\u0096\u00f0\u009f\u008f\u00bd,vulcan salute: medium skin tone
1F596 1F3FE,\u00f0\u009f\u0096\u0096\u00f0\u009f\u008f\u00be,vulcan salute: medium-dark skin tone
1F596 1F3FF,\u00f0\u009f\u0096\u0096\u00f0\u009f\u008f\u00bf,vulcan salute: dark skin tone
1F44C,\u00f0\u009f\u0091\u008c,OK hand
1F44C 1F3FB,\u00f0\u009f\u0091\u008c\u00f0\u009f\u008f\u00bb,OK hand: light skin tone
1F44C 1F3FC,\u00f0\u009f\u0091\u008c\u00f0\u009f\u008f\u00bc,OK hand: medium-light skin tone
1F44C 1F3FD,\u00f0\u009f\u0091\u008c\u00f0\u009f\u008f\u00bd,OK hand: medium skin tone
1F44C 1F3FE,\u00f0\u009f\u0091\u008c\u00f0\u009f\u008f\u00be,OK hand: medium-dark skin tone
1F44C 1F3FF,\u00f0\u009f\u0091\u008c\u00f0\u009f\u008f\u00bf,OK hand: dark skin tone
1F90C,\u00f0\u009f\u00a4\u008c,pinched fingers
1F90C 1F3FB,\u00f0\u009f\u00a4\u008c\u00f0\u009f\u008f\u00bb,pinched fingers: light skin tone
1F90C 1F3FC,\u00f0\u009f\u00a4\u008c\u00f0\u009f\u008f\u00bc,pinched fingers: medium-light skin tone
1F90C 1F3FD,\u00f0\u009f\u00a4\u008c\u00f0\u009f\u008f\u00bd,pinched fingers: medium skin tone
1F90C 1F3FE,\u00f0\u009f\u00a4\u008c\u00f0\u009f\u008f\u00be,pinched fingers: medium-dark skin tone
1F90C 1F3FF,\u00f0\u009f\u00a4\u008c\u00f0\u009f\u008f\u00bf,pinched fingers: dark skin tone
1F90F,\u00f0\u009f\u00a4\u008f,pinching hand
1F90F 1F3FB,\u00f0\u009f\u00a4\u008f\u00f0\u009f\u008f\u00bb,pinching hand: light skin tone
