hex_string,utf8_string,emoji_desc
1F9B9 200D 2640 FE0F,\u00f0\u009f\u00a6\u00b9\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman supervillain
1F9B9 200D 2640,\u00f0\u009f\u00a6\u00b9\u00e2\u0080\u008d\u00e2\u0099\u0080,woman supervillain
1F9B9 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman supervillain: light skin tone
1F9B9 1F3FB 200D 2640,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman supervillain: light skin tone
1F9B9 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman supervillain: medium-light skin tone
1F9B9 1F3FC 200D 2640,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman supervillain: medium-light skin tone
1F9B9 1F3FD 200D 2640 FE0F,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman supervillain: medium skin tone
1F9B9 1F3FD 200D 2640,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,woman supervillain: medium skin tone
1F9B9 1F3FE 200D 2640 FE0F,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman supervillain: medium-dark skin tone
1F9B9 1F3FE 200D 2640,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,woman supervillain: medium-dark skin tone
1F9B9 1F3FF 200D 2640 FE0F,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman supervillain: dark skin tone
1F9B9 1F3FF 200D 2640,\u00f0\u009f\u00a6\u00b9\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,woman supervillain: dark skin tone
1F9D9,\u00f0\u009f\u00a7\u0099,mage
1F9D9 1F3FB,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bb,mage: light skin tone
1F9D9 1F3FC,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bc,mage: medium-light skin tone
1F9D9 1F3FD,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bd,mage: medium skin tone
1F9D9 1F3FE,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00be,mage: medium-dark skin tone
1F9D9 1F3FF,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bf,mage: dark skin tone
1F9D9 200D 2642 FE0F,\u00f0\u009f\u00a7\u0099\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man mage
1F9D9 200D 2642,\u00f0\u009f\u00a7\u0099\u00e2\u0080\u008d\u00e2\u0099\u0082,man mage
1F9D9 1F3FB 200D 2642 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man mage: light skin tone
1F9D9 1F3FB 200D 2642,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,man mage: light skin tone
1F9D9 1F3FC 200D 2642 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man mage: medium-light skin tone
1F9D9 1F3FC 200D 2642,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,man mage: medium-light skin tone
1F9D9 1F3FD 200D 2642 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man mage: medium skin tone
1F9D9 1F3FD 200D 2642,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,man mage: medium skin tone
1F9D9 1F3FE 200D 2642 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man mage: medium-dark skin tone
1F9D9 1F3FE 200D 2642,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,man mage: medium-dark skin tone
1F9D9 1F3FF 200D 2642 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man mage: dark skin tone
1F9D9 1F3FF 200D 2642,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,man mage: dark skin tone
1F9D9 200D 2640 FE0F,\u00f0\u009f\u00a7\u0099\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman mage
1F9D9 200D 2640,\u00f0\u009f\u00a7\u0099\u00e2\u0080\u008d\u00e2\u0099\u0080,woman mage
1F9D9 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman mage: light skin tone
1F9D9 1F3FB 200D 2640,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman mage: light skin tone
1F9D9 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman mage: medium-light skin tone
1F9D9 1F3FC 200D 2640,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman mage: medium-light skin tone
1F9D9 1F3FD 200D 2640 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman mage: medium skin tone
1F9D9 1F3FD 200D 2640,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,woman mage: medium skin tone
1F9D9 1F3FE 200D 2640 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman mage: medium-dark skin tone
1F9D9 1F3FE 200D 2640,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,woman mage: medium-dark skin tone
1F9D9 1F3FF 200D 2640 FE0F,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman mage: dark skin tone
1F9D9 1F3FF 200D 2640,\u00f0\u009f\u00a7\u0099\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,woman mage: dark skin tone
1F9DA,\u00f0\u009f\u00a7\u009a,fairy
1F9DA 1F3FB,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bb,fairy: light skin tone
1F9DA 1F3FC,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bc,fairy: medium-light skin tone
1F9DA 1F3FD,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bd,fairy: medium skin tone
1F9DA 1F3FE,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00be,fairy: medium-dark skin tone
1F9DA 1F3FF,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bf,fairy: dark skin tone
1F9DA 200D 2642 FE0F,\u00f0\u009f\u00a7\u009a\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man fairy
1F9DA 200D 2642,\u00f0\u009f\u00a7\u009a\u00e2\u0080\u008d\u00e2\u0099\u0082,man fairy
1F9DA 1F3FB 200D 2642 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man fairy: light skin tone
1F9DA 1F3FB 200D 2642,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,man fairy: light skin tone
1F9DA 1F3FC 200D 2642 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man fairy: medium-light skin tone
1F9DA 1F3FC 200D 2642,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,man fairy: medium-light skin tone
1F9DA 1F3FD 200D 2642 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man fairy: medium skin tone
1F9DA 1F3FD 200D 2642,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,man fairy: medium skin tone
1F9DA 1F3FE 200D 2642 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man fairy: medium-dark skin tone
1F9DA 1F3FE 200D 2642,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,man fairy: medium-dark skin tone
1F9DA 1F3FF 200D 2642 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man fairy: dark skin tone
1F9DA 1F3FF 200D 2642,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,man fairy: dark skin tone
1F9DA 200D 2640 FE0F,\u00f0\u009f\u00a7\u009a\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman fairy
1F9DA 200D 2640,\u00f0\u009f\u00a7\u009a\u00e2\u0080\u008d\u00e2\u0099\u0080,woman fairy
1F9DA 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman fairy: light skin tone
1F9DA 1F3FB 200D 2640,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman fairy: light skin tone
1F9DA 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman fairy: medium-light skin tone
1F9DA 1F3FC 200D 2640,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman fairy: medium-light skin tone
1F9DA 1F3FD 200D 2640 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman fairy: medium skin tone
1F9DA 1F3FD 200D 2640,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,woman fairy: medium skin tone
1F9DA 1F3FE 200D 2640 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman fairy: medium-dark skin tone
1F9DA 1F3FE 200D 2640,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,woman fairy: medium-dark skin tone
1F9DA 1F3FF 200D 2640 FE0F,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman fairy: dark skin tone
1F9DA 1F3FF 200D 2640,\u00f0\u009f\u00a7\u009a\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,woman fairy: dark skin tone
1F9DB,\u00f0\u009f\u00a7\u009b,vampire
1F9DB 1F3FB,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bb,vampire: light skin tone
1F9DB 1F3FC,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bc,vampire: medium-light skin tone
1F9DB 1F3FD,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bd,vampire: medium skin tone
1F9DB 1F3FE,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00be,vampire: medium-dark skin tone
1F9DB 1F3FF,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bf,vampire: dark skin tone
1F9DB 200D 2642 FE0F,\u00f0\u009f\u00a7\u009b\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man vampire
1F9DB 200D 2642,\u00f0\u009f\u00a7\u009b\u00e2\u0080\u008d\u00e2\u0099\u0082,man vampire
1F9DB 1F3FB 200D 2642 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man vampire: light skin tone
1F9DB 1F3FB 200D 2642,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,man vampire: light skin tone
1F9DB 1F3FC 200D 2642 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man vampire: medium-light skin tone
1F9DB 1F3FC 200D 2642,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,man vampire: medium-light skin tone
1F9DB 1F3FD 200D 2642 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man vampire: medium skin tone
1F9DB 1F3FD 200D 2642,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,man vampire: medium skin tone
1F9DB 1F3FE 200D 2642 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man vampire: medium-dark skin tone
1F9DB 1F3FE 200D 2642,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,man vampire: medium-dark skin tone
1F9DB 1F3FF 200D 2642 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man vampire: dark skin tone
1F9DB 1F3FF 200D 2642,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,man vampire: dark skin tone
1F9DB 200D 2640 FE0F,\u00f0\u009f\u00a7\u009b\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman vampire
1F9DB 200D 2640,\u00f0\u009f\u00a7\u009b\u00e2\u0080\u008d\u00e2\u0099\u0080,woman vampire
1F9DB 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman vampire: light skin tone
1F9DB 1F3FB 200D 2640,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman vampire: light skin tone
1F9DB 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman vampire: medium-light skin tone
1F9DB 1F3FC 200D 2640,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman vampire: medium-light skin tone
1F9DB 1F3FD 200D 2640 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman vampire: medium skin tone
1F9DB 1F3FD 200D 2640,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,woman vampire: medium skin tone
1F9DB 1F3FE 200D 2640 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman vampire: medium-dark skin tone
1F9DB 1F3FE 200D 2640,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,woman vampire: medium-dark skin tone
1F9DB 1F3FF 200D 2640 FE0F,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman vampire: dark skin tone
1F9DB 1F3FF 200D 2640,\u00f0\u009f\u00a7\u009b\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,woman vampire: dark skin tone
1F9DC,\u00f0\u009f\u00a7\u009c,merperson
1F9DC 1F3FB,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bb,merperson: light skin tone
1F9DC 1F3FC,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bc,merperson: medium-light skin tone
1F9DC 1F3FD,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bd,merperson: medium skin tone
1F9DC 1F3FE,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00be,merperson: medium-dark skin tone
1F9DC 1F3FF,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bf,merperson: dark skin tone
1F9DC 200D 2642 FE0F,\u00f0\u009f\u00a7\u009c\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,merman
1F9DC 200D 2642,\u00f0\u009f\u00a7\u009c\u00e2\u0080\u008d\u00e2\u0099\u0082,merman
1F9DC 1F3FB 200D 2642 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,merman: light skin tone
1F9DC 1F3FB 200D 2642,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,merman: light skin tone
1F9DC 1F3FC 200D 2642 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,merman: medium-light skin tone
1F9DC 1F3FC 200D 2642,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,merman: medium-light skin tone
1F9DC 1F3FD 200D 2642 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,merman: medium skin tone
1F9DC 1F3FD 200D 2642,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,merman: medium skin tone
1F9DC 1F3FE 200D 2642 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,merman: medium-dark skin tone
1F9DC 1F3FE 200D 2642,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,merman: medium-dark skin tone
1F9DC 1F3FF 200D 2642 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,merman: dark skin tone
1F9DC 1F3FF 200D 2642,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,merman: dark skin tone
1F9DC 200D 2640 FE0F,\u00f0\u009f\u00a7\u009c\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,mermaid
1F9DC 200D 2640,\u00f0\u009f\u00a7\u009c\u00e2\u0080\u008d\u00e2\u0099\u0080,mermaid
1F9DC 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,mermaid: light skin tone
1F9DC 1F3FB 200D 2640,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,mermaid: light skin tone
1F9DC 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,mermaid: medium-light skin tone
1F9DC 1F3FC 200D 2640,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,mermaid: medium-light skin tone
1F9DC 1F3FD 200D 2640 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,mermaid: medium skin tone
1F9DC 1F3FD 200D 2640,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,mermaid: medium skin tone
1F9DC 1F3FE 200D 2640 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,mermaid: medium-dark skin tone
1F9DC 1F3FE 200D 2640,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,mermaid: medium-dark skin tone
1F9DC 1F3FF 200D 2640 FE0F,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,mermaid: dark skin tone
1F9DC 1F3FF 200D 2640,\u00f0\u009f\u00a7\u009c\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,mermaid: dark skin tone
1F9DD,\u00f0\u009f\u00a7\u009d,elf
1F9DD 1F3FB,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bb,elf: light skin tone
1F9DD 1F3FC,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bc,elf: medium-light skin tone
1F9DD 1F3FD,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bd,elf: medium skin tone
1F9DD 1F3FE,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00be,elf: medium-dark skin tone
1F9DD 1F3FF,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bf,elf: dark skin tone
1F9DD 200D 2642 FE0F,\u00f0\u009f\u00a7\u009d\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man elf
1F9DD 200D 2642,\u00f0\u009f\u00a7\u009d\u00e2\u0080\u008d\u00e2\u0099\u0082,man elf
1F9DD 1F3FB 200D 2642 FE0F,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man elf: light skin tone
1F9DD 1F3FB 200D 2642,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,man elf: light skin tone
1F9DD 1F3FC 200D 2642 FE0F,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man elf: medium-light skin tone
1F9DD 1F3FC 200D 2642,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,man elf: medium-light skin tone
1F9DD 1F3FD 200D 2642 FE0F,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man elf: medium skin tone
1F9DD 1F3FD 200D 2642,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,man elf: medium skin tone
1F9DD 1F3FE 200D 2642 FE0F,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man elf: medium-dark skin tone
1F9DD 1F3FE 200D 2642,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,man elf: medium-dark skin tone
1F9DD 1F3FF 200D 2642 FE0F,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man elf: dark skin tone
1F9DD 1F3FF 200D 2642,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,man elf: dark skin tone
1F9DD 200D 2640 FE0F,\u00f0\u009f\u00a7\u009d\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman elf
1F9DD 200D 2640,\u00f0\u009f\u00a7\u009d\u00e2\u0080\u008d\u00e2\u0099\u0080,woman elf
1F9DD 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman elf: light skin tone
1F9DD 1F3FB 200D 2640,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman elf: light skin tone
1F9DD 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman elf: medium-light skin tone
1F9DD 1F3FC 200D 2640,\u00f0\u009f\u00a7\u009d\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman elf: medium-light skin tone
